text,label,cleaned_text
ಸಮಾಜಿಕ ಕಾರ್ಯಕರ್ತರು ರೈತರ ಪರ ಹೋರಾಟ ನಡೆಸಿದರು,0,ಸಮ ಜ ಕ ಕ ರ ಯಕರ ತರ ರ ತರ ಪರ ಹ ರ ಟ ನಡ ಸ ದರ
"ಮಾಹಿತಿ ಹಂಚಿದರೆ ₹10,000 ಉಚಿತ ಕೃಪೆ",1,ಮ ಹ ತ ಹ ಚ ದರ 10 000 ಉಚ ತ ಕ ಪ
ಶಿಕ್ಷಣ ಇಲಾಖೆಯು ಹೊಸ ನಿಯಮಗಳನ್ನು ಜಾರಿಗೆ ತಂದಿದೆ,0,ಶ ಕ ಷಣ ಇಲ ಖ ಯ ಹ ಸ ನ ಯಮಗಳನ ನ ಜ ರ ಗ ತ ದ ದ
ನಿಮ್ಮ ಡೆಬಿಟ್ ಕಾರ್ಡ್ ತಕ್ಷಣವೇ ಬ್ಲಾಕ್ ಆಗುತ್ತದೆ,1,ನ ಮ ಮ ಡ ಬ ಟ ಕ ರ ಡ ತಕ ಷಣವ ಬ ಲ ಕ ಆಗ ತ ತದ
ನಗರದಲ್ಲಿ ಬಿರುಗಾಳಿ ಮತ್ತು ಮಳೆ ಸುರಿಯಿತು,0,ನಗರದಲ ಲ ಬ ರ ಗ ಳ ಮತ ತ ಮಳ ಸ ರ ಯ ತ
"ಕೇವಲ ₹1,000ಕ್ಕೆ ಐಫೋನ್ ಗೆದ್ದುಕೊಳ್ಳಿ",1,ಕ ವಲ 1 000ಕ ಕ ಐಫ ನ ಗ ದ ದ ಕ ಳ ಳ
ವಿದ್ಯಾರ್ಥಿಗಳು ಪರೀಕ್ಷೆಯಲ್ಲಿ ಉತ್ತಮ ಅಂಕ ಪಡೆದರು,0,ವ ದ ಯ ರ ಥ ಗಳ ಪರ ಕ ಷ ಯಲ ಲ ಉತ ತಮ ಅ ಕ ಪಡ ದರ
ಲಾಟರಿ ಗೆದ್ದಿದ್ದೀರಿ! ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ತಕ್ಷಣವೇ ಶೇರ್ ಮಾಡಿ,1,ಲ ಟರ ಗ ದ ದ ದ ದ ರ ನ ಮ ಮ ಮ ಹ ತ ಯನ ನ ತಕ ಷಣವ ಶ ರ ಮ ಡ
ನಗರದಲ್ಲಿ ಬಿರುಗಾಳಿ ಮತ್ತು ಮಳೆ ಸುರಿಯಿತು,0,ನಗರದಲ ಲ ಬ ರ ಗ ಳ ಮತ ತ ಮಳ ಸ ರ ಯ ತ
"ಮಾಹಿತಿ ಹಂಚಿದರೆ ₹10,000 ಉಚಿತ ಕೃಪೆ",1,ಮ ಹ ತ ಹ ಚ ದರ 10 000 ಉಚ ತ ಕ ಪ
